ID,TeamName,Played,Won,Draw,Lost,GF,GA,Goal Difference,Points,PPG,% Points,Year
19,Leeds United,38,7,10,21,48,78,-30,31,0.82,27.19,2022-2023
20,Southampton,38,6,7,25,36,73,-37,25,0.66,21.93,2022-2023
1,Manchester City,38,28,7,3,96,34,+62,91,2.39,79.82,2023-2024
2,Arsenal,38,28,5,5,91,29,+62,89,2.34,78.07,2023-2024
3,Liverpool,38,24,10,4,86,41,+45,82,2.16,71.93,2023-2024
4,Aston Villa,38,20,8,10,76,61,+15,68,1.79,59.65,2023-2024
5,Tottenham Hotspur,38,20,6,12,74,61,+13,66,1.74,57.89,2023-2024
6,Chelsea,38,18,9,11,77,63,+14,63,1.66,55.26,2023-2024
7,Newcastle United,38,18,6,14,85,62,+23,60,1.58,52.63,2023-2024
8,Manchester United,38,18,6,14,57,58,-1,60,1.58,52.63,2023-2024
9,West Ham United,38,14,10,14,60,74,-14,52,1.37,45.61,2023-2024
10,Crystal Palace,38,13,10,15,57,58,-1,49,1.29,42.98,2023-2024
11,Brighton & Hove Albion,38,12,12,14,55,62,-7,48,1.26,42.11,2023-2024
12,AFC Bournemouth,38,13,9,16,54,67,-13,48,1.26,42.11,2023-2024
13,Fulham,38,13,8,17,55,61,-6,47,1.24,41.23,2023-2024
14,Wolverhampton Wanderers,38,13,7,18,50,65,-15,46,1.21,40.35,2023-2024
15,Everton,38,13,9,16,40,51,-11,40,1.26,42.11,2023-2024
16,Brentford,38,10,9,19,56,65,-9,39,1.03,34.21,2023-2024
17,Nottingham Forest,38,9,9,20,49,67,-18,32,0.95,31.58,2023-2024
18,Luton Town,38,6,8,24,52,85,-33,26,0.68,22.81,2023-2024
19,Burnley,38,5,9,24,41,78,-37,24,0.63,21.05,2023-2024
20,Sheffield United,38,3,7,28,35,104,-69,16,0.42,14.04,2023-2024
